audio,etiqueta,nombre
data\outputA\LA_E_1010832_2s.flac,bonafide,LA_E_1010832
data\outputA\LA_E_1010878_2s.flac,spoof,LA_E_1010878
data\outputA\LA_E_1011071_2s.flac,spoof,LA_E_1011071
data\outputA\LA_E_1011202_2s.flac,spoof,LA_E_1011202
data\outputA\LA_E_1011206_2s.flac,spoof,LA_E_1011206
data\outputA\LA_E_1011417_2s.flac,spoof,LA_E_1011417
data\outputA\LA_E_1012061_2s.flac,bonafide,LA_E_1012061
data\outputA\LA_E_1012154_2s.flac,spoof,LA_E_1012154
data\outputA\LA_E_1012272_2s.flac,spoof,LA_E_1012272
data\outputA\LA_E_1012689_2s.flac,spoof,LA_E_1012689
data\outputA\LA_E_1012775_2s.flac,bonafide,LA_E_1012775
data\outputA\LA_E_1013114_2s.flac,spoof,LA_E_1013114
data\outputA\LA_E_1013163_2s.flac,spoof,LA_E_1013163
data\outputA\LA_E_1013469_2s.flac,spoof,LA_E_1013469
data\outputA\LA_E_1013500_2s.flac,spoof,LA_E_1013500
data\outputA\LA_E_1013717_2s.flac,bonafide,LA_E_1013717
data\outputA\LA_E_1013742_2s.flac,spoof,LA_E_1013742
data\outputA\LA_E_1013759_2s.flac,spoof,LA_E_1013759
data\outputA\LA_E_1014760_2s.flac,spoof,LA_E_1014760
data\outputA\LA_E_1014942_2s.flac,bonafide,LA_E_1014942
data\outputA\LA_E_1014946_2s.flac,spoof,LA_E_1014946
data\outputA\LA_E_1014958_2s.flac,bonafide,LA_E_1014958
data\outputA\LA_E_1015001_2s.flac,spoof,LA_E_1015001
data\outputA\LA_E_1015053_2s.flac,spoof,LA_E_1015053
data\outputA\LA_E_1015187_2s.flac,spoof,LA_E_1015187
data\outputA\LA_E_1015225_2s.flac,spoof,LA_E_1015225
data\outputA\LA_E_1015330_2s.flac,spoof,LA_E_1015330
data\outputA\LA_E_1015732_2s.flac,spoof,LA_E_1015732
data\outputA\LA_E_1016085_2s.flac,bonafide,LA_E_1016085
data\outputA\LA_E_1016136_2s.flac,bonafide,LA_E_1016136
data\outputA\LA_E_1016141_2s.flac,spoof,LA_E_1016141
data\outputA\LA_E_1016303_2s.flac,spoof,LA_E_1016303
data\outputA\LA_E_1016720_2s.flac,spoof,LA_E_1016720
data\outputA\LA_E_1016913_2s.flac,spoof,LA_E_1016913
data\outputA\LA_E_1016955_2s.flac,spoof,LA_E_1016955
data\outputA\LA_E_1017127_2s.flac,spoof,LA_E_1017127
data\outputA\LA_E_1017380_2s.flac,bonafide,LA_E_1017380
data\outputA\LA_E_1017506_2s.flac,bonafide,LA_E_1017506
data\outputA\LA_E_1017599_2s.flac,spoof,LA_E_1017599
data\outputA\LA_E_1017621_2s.flac,spoof,LA_E_1017621
data\outputA\LA_E_1017648_2s.flac,spoof,LA_E_1017648
data\outputA\LA_E_1017888_2s.flac,spoof,LA_E_1017888
data\outputA\LA_E_1017890_2s.flac,bonafide,LA_E_1017890
data\outputA\LA_E_1018222_2s.flac,spoof,LA_E_1018222
data\outputA\LA_E_1018309_2s.flac,spoof,LA_E_1018309
data\outputA\LA_E_1018319_2s.flac,bonafide,LA_E_1018319
data\outputA\LA_E_1018401_2s.flac,spoof,LA_E_1018401
data\outputA\LA_E_1018409_2s.flac,bonafide,LA_E_1018409
data\outputA\LA_E_1018806_2s.flac,spoof,LA_E_1018806
data\outputA\LA_E_1018924_2s.flac,spoof,LA_E_1018924
data\outputA\LA_E_1019069_2s.flac,spoof,LA_E_1019069
data\outputA\LA_E_1019773_2s.flac,bonafide,LA_E_1019773
data\outputA\LA_E_1019856_2s.flac,bonafide,LA_E_1019856
data\outputA\LA_E_1019866_2s.flac,spoof,LA_E_1019866
data\outputA\LA_E_1020019_2s.flac,spoof,LA_E_1020019
data\outputA\LA_E_1020123_2s.flac,spoof,LA_E_1020123
data\outputA\LA_E_1020265_2s.flac,spoof,LA_E_1020265
data\outputA\LA_E_1020391_2s.flac,spoof,LA_E_1020391
data\outputA\LA_E_1020564_2s.flac,spoof,LA_E_1020564
data\outputA\LA_E_1020757_2s.flac,spoof,LA_E_1020757
data\outputA\LA_E_1020938_2s.flac,spoof,LA_E_1020938
data\outputA\LA_E_1020965_2s.flac,spoof,LA_E_1020965
data\outputA\LA_E_1021328_2s.flac,spoof,LA_E_1021328
data\outputA\LA_E_1021339_2s.flac,spoof,LA_E_1021339
data\outputA\LA_E_1021359_2s.flac,spoof,LA_E_1021359
data\outputA\LA_E_1021552_2s.flac,spoof,LA_E_1021552
data\outputA\LA_E_1022133_2s.flac,bonafide,LA_E_1022133
data\outputA\LA_E_1022163_2s.flac,spoof,LA_E_1022163
data\outputA\LA_E_1022414_2s.flac,spoof,LA_E_1022414
data\outputA\LA_E_1022541_2s.flac,spoof,LA_E_1022541
data\outputA\LA_E_1022676_2s.flac,spoof,LA_E_1022676
data\outputA\LA_E_1023237_2s.flac,spoof,LA_E_1023237
data\outputA\LA_E_1023357_2s.flac,spoof,LA_E_1023357
data\outputA\LA_E_1023606_2s.flac,spoof,LA_E_1023606
data\outputA\LA_E_1023753_2s.flac,spoof,LA_E_1023753
data\outputA\LA_E_1023975_2s.flac,spoof,LA_E_1023975
data\outputA\LA_E_1024307_2s.flac,spoof,LA_E_1024307
data\outputA\LA_E_1024567_2s.flac,bonafide,LA_E_1024567
data\outputA\LA_E_1024696_2s.flac,spoof,LA_E_1024696
data\outputA\LA_E_1024898_2s.flac,spoof,LA_E_1024898
data\outputA\LA_E_1025721_2s.flac,spoof,LA_E_1025721
data\outputA\LA_E_1026183_2s.flac,spoof,LA_E_1026183
data\outputA\LA_E_1026410_2s.flac,bonafide,LA_E_1026410
data\outputA\LA_E_1026451_2s.flac,spoof,LA_E_1026451
data\outputA\LA_E_1026512_2s.flac,spoof,LA_E_1026512
data\outputA\LA_E_1026618_2s.flac,spoof,LA_E_1026618
data\outputA\LA_E_1026668_2s.flac,bonafide,LA_E_1026668
data\outputA\LA_E_1026771_2s.flac,bonafide,LA_E_1026771
data\outputA\LA_E_1026801_2s.flac,spoof,LA_E_1026801
data\outputA\LA_E_1026886_2s.flac,spoof,LA_E_1026886
data\outputA\LA_E_1027061_2s.flac,bonafide,LA_E_1027061
data\outputA\LA_E_1027200_2s.flac,spoof,LA_E_1027200
data\outputA\LA_E_1027307_2s.flac,spoof,LA_E_1027307
data\outputA\LA_E_1027473_2s.flac,bonafide,LA_E_1027473
data\outputA\LA_E_1027595_2s.flac,spoof,LA_E_1027595
data\outputA\LA_E_1027623_2s.flac,spoof,LA_E_1027623
data\outputA\LA_E_1027677_2s.flac,spoof,LA_E_1027677
data\outputA\LA_E_1027709_2s.flac,spoof,LA_E_1027709
data\outputA\LA_E_1027969_2s.flac,spoof,LA_E_1027969
data\outputA\LA_E_1028164_2s.flac,spoof,LA_E_1028164
data\outputA\LA_E_1028170_2s.flac,spoof,LA_E_1028170
data\outputA\LA_E_1028287_2s.flac,spoof,LA_E_1028287
data\outputA\LA_E_1028427_2s.flac,spoof,LA_E_1028427
data\outputA\LA_E_1028611_2s.flac,spoof,LA_E_1028611
data\outputA\LA_E_1028666_2s.flac,spoof,LA_E_1028666
data\outputA\LA_E_1028818_2s.flac,spoof,LA_E_1028818
data\outputA\LA_E_1028855_2s.flac,spoof,LA_E_1028855
data\outputA\LA_E_1028882_2s.flac,spoof,LA_E_1028882
data\outputA\LA_E_1028891_2s.flac,spoof,LA_E_1028891
data\outputA\LA_E_1028945_2s.flac,spoof,LA_E_1028945
data\outputA\LA_E_1029058_2s.flac,spoof,LA_E_1029058
data\outputA\LA_E_1029088_2s.flac,spoof,LA_E_1029088
data\outputA\LA_E_1029131_2s.flac,bonafide,LA_E_1029131
data\outputA\LA_E_1029164_2s.flac,spoof,LA_E_1029164
data\outputA\LA_E_1029339_2s.flac,spoof,LA_E_1029339
data\outputA\LA_E_1029431_2s.flac,spoof,LA_E_1029431
data\outputA\LA_E_1029740_2s.flac,spoof,LA_E_1029740
data\outputA\LA_E_1030120_2s.flac,spoof,LA_E_1030120
data\outputA\LA_E_1030139_2s.flac,spoof,LA_E_1030139
data\outputA\LA_E_1030215_2s.flac,spoof,LA_E_1030215
data\outputA\LA_E_1030247_2s.flac,spoof,LA_E_1030247
data\outputA\LA_E_1030276_2s.flac,spoof,LA_E_1030276
data\outputA\LA_E_1030454_2s.flac,bonafide,LA_E_1030454
data\outputA\LA_E_1030905_2s.flac,spoof,LA_E_1030905
data\outputA\LA_E_1031310_2s.flac,bonafide,LA_E_1031310
data\outputA\LA_E_1031364_2s.flac,spoof,LA_E_1031364
data\outputA\LA_E_1031449_2s.flac,spoof,LA_E_1031449
data\outputA\LA_E_1031558_2s.flac,spoof,LA_E_1031558
data\outputA\LA_E_1031642_2s.flac,spoof,LA_E_1031642
data\outputA\LA_E_1031902_2s.flac,spoof,LA_E_1031902
data\outputA\LA_E_1032337_2s.flac,spoof,LA_E_1032337
data\outputA\LA_E_1032731_2s.flac,spoof,LA_E_1032731
data\outputA\LA_E_1032896_2s.flac,spoof,LA_E_1032896
data\outputA\LA_E_1032989_2s.flac,spoof,LA_E_1032989
data\outputA\LA_E_1032994_2s.flac,spoof,LA_E_1032994
data\outputA\LA_E_1033128_2s.flac,spoof,LA_E_1033128
data\outputA\LA_E_1033216_2s.flac,spoof,LA_E_1033216
data\outputA\LA_E_1033255_2s.flac,spoof,LA_E_1033255
data\outputA\LA_E_1033304_2s.flac,spoof,LA_E_1033304
data\outputA\LA_E_1033392_2s.flac,spoof,LA_E_1033392
data\outputA\LA_E_1033507_2s.flac,bonafide,LA_E_1033507
data\outputA\LA_E_1033618_2s.flac,spoof,LA_E_1033618
data\outputA\LA_E_1033674_2s.flac,spoof,LA_E_1033674
data\outputA\LA_E_1033913_2s.flac,spoof,LA_E_1033913
data\outputA\LA_E_1034132_2s.flac,spoof,LA_E_1034132
data\outputA\LA_E_1034241_2s.flac,spoof,LA_E_1034241
data\outputA\LA_E_1034283_2s.flac,bonafide,LA_E_1034283
data\outputA\LA_E_1034377_2s.flac,spoof,LA_E_1034377
data\outputA\LA_E_1034672_2s.flac,bonafide,LA_E_1034672
data\outputA\LA_E_1034763_2s.flac,spoof,LA_E_1034763
data\outputA\LA_E_1034816_2s.flac,spoof,LA_E_1034816
data\outputA\LA_E_1034844_2s.flac,spoof,LA_E_1034844
data\outputA\LA_E_1034990_2s.flac,spoof,LA_E_1034990
data\outputA\LA_E_1035056_2s.flac,spoof,LA_E_1035056
data\outputA\LA_E_1035473_2s.flac,spoof,LA_E_1035473
data\outputA\LA_E_1035673_2s.flac,spoof,LA_E_1035673
data\outputA\LA_E_1035776_2s.flac,spoof,LA_E_1035776
data\outputA\LA_E_1036080_2s.flac,spoof,LA_E_1036080
data\outputA\LA_E_1036084_2s.flac,bonafide,LA_E_1036084
data\outputA\LA_E_1036211_2s.flac,spoof,LA_E_1036211
data\outputA\LA_E_1036333_2s.flac,spoof,LA_E_1036333
data\outputA\LA_E_1036564_2s.flac,bonafide,LA_E_1036564
data\outputA\LA_E_1036830_2s.flac,spoof,LA_E_1036830
data\outputA\LA_E_1036899_2s.flac,bonafide,LA_E_1036899
data\outputA\LA_E_1037023_2s.flac,spoof,LA_E_1037023
data\outputA\LA_E_1037069_2s.flac,spoof,LA_E_1037069
data\outputA\LA_E_1037202_2s.flac,spoof,LA_E_1037202
data\outputA\LA_E_1037492_2s.flac,spoof,LA_E_1037492
data\outputA\LA_E_1037624_2s.flac,bonafide,LA_E_1037624
data\outputA\LA_E_1037756_2s.flac,spoof,LA_E_1037756
data\outputA\LA_E_1037758_2s.flac,spoof,LA_E_1037758
data\outputA\LA_E_1038001_2s.flac,spoof,LA_E_1038001
data\outputA\LA_E_1038175_2s.flac,spoof,LA_E_1038175
data\outputA\LA_E_1038362_2s.flac,spoof,LA_E_1038362
data\outputA\LA_E_1038483_2s.flac,spoof,LA_E_1038483
data\outputA\LA_E_1038754_2s.flac,spoof,LA_E_1038754
data\outputA\LA_E_1038882_2s.flac,spoof,LA_E_1038882
data\outputA\LA_E_1038913_2s.flac,spoof,LA_E_1038913
data\outputA\LA_E_1038940_2s.flac,bonafide,LA_E_1038940
data\outputA\LA_E_1038945_2s.flac,spoof,LA_E_1038945
data\outputA\LA_E_1039461_2s.flac,spoof,LA_E_1039461
data\outputA\LA_E_1039472_2s.flac,spoof,LA_E_1039472
data\outputA\LA_E_1039475_2s.flac,spoof,LA_E_1039475
data\outputA\LA_E_1039645_2s.flac,spoof,LA_E_1039645
data\outputA\LA_E_1039650_2s.flac,spoof,LA_E_1039650
data\outputA\LA_E_1039791_2s.flac,spoof,LA_E_1039791
data\outputA\LA_E_1040028_2s.flac,spoof,LA_E_1040028
data\outputA\LA_E_1040267_2s.flac,spoof,LA_E_1040267
data\outputA\LA_E_1040427_2s.flac,spoof,LA_E_1040427
data\outputA\LA_E_1040665_2s.flac,spoof,LA_E_1040665
data\outputA\LA_E_1040726_2s.flac,spoof,LA_E_1040726
data\outputA\LA_E_1041071_2s.flac,bonafide,LA_E_1041071
data\outputA\LA_E_1041202_2s.flac,spoof,LA_E_1041202
data\outputA\LA_E_1041424_2s.flac,spoof,LA_E_1041424
data\outputA\LA_E_1041460_2s.flac,spoof,LA_E_1041460
data\outputA\LA_E_1041645_2s.flac,spoof,LA_E_1041645
data\outputA\LA_E_1041791_2s.flac,spoof,LA_E_1041791
data\outputA\LA_E_1041842_2s.flac,spoof,LA_E_1041842
data\outputA\LA_E_1041849_2s.flac,spoof,LA_E_1041849
data\outputA\LA_E_1042031_2s.flac,spoof,LA_E_1042031
data\outputA\LA_E_1042144_2s.flac,spoof,LA_E_1042144
data\outputA\LA_E_1042196_2s.flac,spoof,LA_E_1042196
data\outputA\LA_E_1042266_2s.flac,spoof,LA_E_1042266
data\outputA\LA_E_1042922_2s.flac,spoof,LA_E_1042922
data\outputA\LA_E_1043665_2s.flac,spoof,LA_E_1043665
data\outputA\LA_E_1043737_2s.flac,bonafide,LA_E_1043737
data\outputA\LA_E_1043772_2s.flac,spoof,LA_E_1043772
data\outputA\LA_E_1043803_2s.flac,spoof,LA_E_1043803
data\outputA\LA_E_1044022_2s.flac,spoof,LA_E_1044022
data\outputA\LA_E_1044590_2s.flac,spoof,LA_E_1044590
data\outputA\LA_E_1044603_2s.flac,bonafide,LA_E_1044603
data\outputA\LA_E_1044695_2s.flac,spoof,LA_E_1044695
data\outputA\LA_E_1044816_2s.flac,spoof,LA_E_1044816
data\outputA\LA_E_1045030_2s.flac,bonafide,LA_E_1045030
data\outputA\LA_E_1045533_2s.flac,spoof,LA_E_1045533
data\outputA\LA_E_1045946_2s.flac,spoof,LA_E_1045946
data\outputA\LA_E_1046166_2s.flac,spoof,LA_E_1046166
data\outputA\LA_E_1046173_2s.flac,spoof,LA_E_1046173
data\outputA\LA_E_1046299_2s.flac,bonafide,LA_E_1046299
data\outputA\LA_E_1046465_2s.flac,spoof,LA_E_1046465
data\outputA\LA_E_1046650_2s.flac,bonafide,LA_E_1046650
data\outputA\LA_E_1046731_2s.flac,spoof,LA_E_1046731
data\outputA\LA_E_1046908_2s.flac,spoof,LA_E_1046908
data\outputA\LA_E_1047123_2s.flac,spoof,LA_E_1047123
data\outputA\LA_E_1047335_2s.flac,bonafide,LA_E_1047335
data\outputA\LA_E_1047337_2s.flac,spoof,LA_E_1047337
data\outputA\LA_E_1047440_2s.flac,spoof,LA_E_1047440
data\outputA\LA_E_1047551_2s.flac,spoof,LA_E_1047551
data\outputA\LA_E_1047554_2s.flac,spoof,LA_E_1047554
data\outputA\LA_E_1047700_2s.flac,spoof,LA_E_1047700
data\outputA\LA_E_1047775_2s.flac,spoof,LA_E_1047775
data\outputA\LA_E_1047845_2s.flac,spoof,LA_E_1047845
data\outputA\LA_E_1047917_2s.flac,bonafide,LA_E_1047917
data\outputA\LA_E_1048054_2s.flac,spoof,LA_E_1048054
data\outputA\LA_E_1048222_2s.flac,bonafide,LA_E_1048222
data\outputA\LA_E_1048238_2s.flac,bonafide,LA_E_1048238
data\outputA\LA_E_1048670_2s.flac,spoof,LA_E_1048670
data\outputA\LA_E_1048950_2s.flac,bonafide,LA_E_1048950
data\outputA\LA_E_1048965_2s.flac,spoof,LA_E_1048965
data\outputA\LA_E_1049185_2s.flac,spoof,LA_E_1049185
data\outputA\LA_E_1049218_2s.flac,spoof,LA_E_1049218
data\outputA\LA_E_1049250_2s.flac,spoof,LA_E_1049250
data\outputA\LA_E_1049308_2s.flac,spoof,LA_E_1049308
data\outputA\LA_E_1049373_2s.flac,spoof,LA_E_1049373
data\outputA\LA_E_1049493_2s.flac,spoof,LA_E_1049493
data\outputA\LA_E_1049638_2s.flac,spoof,LA_E_1049638
data\outputA\LA_E_1049816_2s.flac,bonafide,LA_E_1049816
data\outputA\LA_E_1049981_2s.flac,spoof,LA_E_1049981
data\outputA\LA_E_1049989_2s.flac,spoof,LA_E_1049989
data\outputA\LA_E_1050067_2s.flac,spoof,LA_E_1050067
data\outputA\LA_E_1050106_2s.flac,spoof,LA_E_1050106
data\outputA\LA_E_1050298_2s.flac,spoof,LA_E_1050298
data\outputA\LA_E_1050305_2s.flac,bonafide,LA_E_1050305
data\outputA\LA_E_1050382_2s.flac,spoof,LA_E_1050382
data\outputA\LA_E_1050488_2s.flac,spoof,LA_E_1050488
data\outputA\LA_E_1050550_2s.flac,spoof,LA_E_1050550
data\outputA\LA_E_1050706_2s.flac,bonafide,LA_E_1050706
data\outputA\LA_E_1050921_2s.flac,spoof,LA_E_1050921
data\outputA\LA_E_1051090_2s.flac,bonafide,LA_E_1051090
data\outputA\LA_E_1051662_2s.flac,spoof,LA_E_1051662
data\outputA\LA_E_1051686_2s.flac,spoof,LA_E_1051686
data\outputA\LA_E_1051901_2s.flac,spoof,LA_E_1051901
data\outputA\LA_E_1052026_2s.flac,spoof,LA_E_1052026
data\outputA\LA_E_1052202_2s.flac,bonafide,LA_E_1052202
data\outputA\LA_E_1052252_2s.flac,spoof,LA_E_1052252
data\outputA\LA_E_1052367_2s.flac,bonafide,LA_E_1052367
data\outputA\LA_E_1052469_2s.flac,spoof,LA_E_1052469
data\outputA\LA_E_1052508_2s.flac,spoof,LA_E_1052508
data\outputA\LA_E_1052835_2s.flac,spoof,LA_E_1052835
data\outputA\LA_E_1052933_2s.flac,spoof,LA_E_1052933
data\outputA\LA_E_1052994_2s.flac,spoof,LA_E_1052994
data\outputA\LA_E_1053064_2s.flac,spoof,LA_E_1053064
data\outputA\LA_E_1053698_2s.flac,spoof,LA_E_1053698
data\outputA\LA_E_1053743_2s.flac,spoof,LA_E_1053743
data\outputA\LA_E_1053854_2s.flac,spoof,LA_E_1053854
data\outputA\LA_E_1054106_2s.flac,spoof,LA_E_1054106
data\outputA\LA_E_1054198_2s.flac,spoof,LA_E_1054198
data\outputA\LA_E_1054231_2s.flac,spoof,LA_E_1054231
data\outputA\LA_E_1054745_2s.flac,bonafide,LA_E_1054745
data\outputA\LA_E_1054896_2s.flac,spoof,LA_E_1054896
data\outputA\LA_E_1054935_2s.flac,spoof,LA_E_1054935
data\outputA\LA_E_1055063_2s.flac,spoof,LA_E_1055063
data\outputA\LA_E_1055152_2s.flac,spoof,LA_E_1055152
data\outputA\LA_E_1055153_2s.flac,bonafide,LA_E_1055153
data\outputA\LA_E_1055269_2s.flac,bonafide,LA_E_1055269
data\outputA\LA_E_1055280_2s.flac,spoof,LA_E_1055280
data\outputA\LA_E_1055314_2s.flac,bonafide,LA_E_1055314
data\outputA\LA_E_1055431_2s.flac,bonafide,LA_E_1055431
data\outputA\LA_E_1055502_2s.flac,spoof,LA_E_1055502
data\outputA\LA_E_1055759_2s.flac,spoof,LA_E_1055759
data\outputA\LA_E_1055849_2s.flac,spoof,LA_E_1055849
data\outputA\LA_E_1055878_2s.flac,spoof,LA_E_1055878
data\outputA\LA_E_1055988_2s.flac,spoof,LA_E_1055988
data\outputA\LA_E_1056268_2s.flac,spoof,LA_E_1056268
data\outputA\LA_E_1056291_2s.flac,spoof,LA_E_1056291
data\outputA\LA_E_1056389_2s.flac,spoof,LA_E_1056389
data\outputA\LA_E_1056635_2s.flac,spoof,LA_E_1056635
data\outputA\LA_E_1056763_2s.flac,spoof,LA_E_1056763
data\outputA\LA_E_1056790_2s.flac,spoof,LA_E_1056790
data\outputA\LA_E_1056906_2s.flac,spoof,LA_E_1056906
data\outputA\LA_E_1057055_2s.flac,spoof,LA_E_1057055
data\outputA\LA_E_1057072_2s.flac,spoof,LA_E_1057072
data\outputA\LA_E_1057182_2s.flac,spoof,LA_E_1057182
data\outputA\LA_E_1057392_2s.flac,bonafide,LA_E_1057392
data\outputA\LA_E_1057725_2s.flac,spoof,LA_E_1057725
data\outputA\LA_E_1057930_2s.flac,spoof,LA_E_1057930
data\outputA\LA_E_1057998_2s.flac,spoof,LA_E_1057998
data\outputA\LA_E_1058232_2s.flac,spoof,LA_E_1058232
data\outputA\LA_E_1058307_2s.flac,spoof,LA_E_1058307
data\outputA\LA_E_1058308_2s.flac,spoof,LA_E_1058308
data\outputA\LA_E_1058339_2s.flac,spoof,LA_E_1058339
data\outputA\LA_E_1058346_2s.flac,bonafide,LA_E_1058346
data\outputA\LA_E_1058385_2s.flac,spoof,LA_E_1058385
data\outputA\LA_E_1058448_2s.flac,spoof,LA_E_1058448
data\outputA\LA_E_1058551_2s.flac,spoof,LA_E_1058551
data\outputA\LA_E_1058646_2s.flac,spoof,LA_E_1058646
data\outputA\LA_E_1058651_2s.flac,spoof,LA_E_1058651
data\outputA\LA_E_1058696_2s.flac,spoof,LA_E_1058696
data\outputA\LA_E_1058728_2s.flac,spoof,LA_E_1058728
data\outputA\LA_E_1058789_2s.flac,spoof,LA_E_1058789
data\outputA\LA_E_1058835_2s.flac,spoof,LA_E_1058835
data\outputA\LA_E_1058868_2s.flac,spoof,LA_E_1058868
data\outputA\LA_E_1059007_2s.flac,spoof,LA_E_1059007
data\outputA\LA_E_1059203_2s.flac,spoof,LA_E_1059203
data\outputA\LA_E_1059496_2s.flac,spoof,LA_E_1059496
data\outputA\LA_E_1059500_2s.flac,spoof,LA_E_1059500
data\outputA\LA_E_1059514_2s.flac,bonafide,LA_E_1059514
data\outputA\LA_E_1059578_2s.flac,spoof,LA_E_1059578
data\outputA\LA_E_1059606_2s.flac,spoof,LA_E_1059606
data\outputA\LA_E_1059967_2s.flac,spoof,LA_E_1059967
data\outputA\LA_E_1060032_2s.flac,spoof,LA_E_1060032
data\outputA\LA_E_1060152_2s.flac,spoof,LA_E_1060152
data\outputA\LA_E_1060202_2s.flac,bonafide,LA_E_1060202
data\outputA\LA_E_1060277_2s.flac,spoof,LA_E_1060277
data\outputA\LA_E_1060409_2s.flac,spoof,LA_E_1060409
data\outputA\LA_E_1060845_2s.flac,spoof,LA_E_1060845
data\outputA\LA_E_1060890_2s.flac,spoof,LA_E_1060890
data\outputA\LA_E_1060904_2s.flac,spoof,LA_E_1060904
data\outputA\LA_E_1061137_2s.flac,spoof,LA_E_1061137
data\outputA\LA_E_1061163_2s.flac,bonafide,LA_E_1061163
data\outputA\LA_E_1061500_2s.flac,spoof,LA_E_1061500
data\outputA\LA_E_1061510_2s.flac,spoof,LA_E_1061510
data\outputA\LA_E_1061517_2s.flac,spoof,LA_E_1061517
data\outputA\LA_E_1062034_2s.flac,spoof,LA_E_1062034
data\outputA\LA_E_1062193_2s.flac,spoof,LA_E_1062193
data\outputA\LA_E_1062345_2s.flac,spoof,LA_E_1062345
data\outputA\LA_E_1062374_2s.flac,bonafide,LA_E_1062374
